GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
295,0.0,0.0,-0.0,-0.0,0.0,0.0,-19.75,-2.16,0.0,0.0,19.44,-2.96,-21.9,16.48,-5.43
298,0.0,-0.0,-0.0,-0.0,0.0,0.0,-17.93,-4.93,-0.0,0.0,20.63,-2.68,-22.85,17.95,-4.9
301,0.0,0.0,-0.0,0.0,-0.0,0.0,-17.59,-14.99,0.0,0.0,25.16,-3.42,-32.58,21.75,-10.83
304,0.0,0.0,-0.0,0.0,-0.0,0.0,-18.8,-3.24,0.0,0.0,20.24,-3.89,-22.04,16.35,-5.69
307,-0.0,0.0,-0.0,0.0,-0.0,0.0,-21.6,-7.46,0.0,-0.0,23.35,-3.56,-29.07,19.79,-9.27
310,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-21.64,-8.96,0.0,0.0,23.57,-3.64,-30.6,19.93,-10.67
313,0.0,0.0,0.0,-0.0,0.0,0.0,-20.55,-11.12,-0.0,0.0,25.91,-3.5,-31.67,22.41,-9.26
316,-0.0,0.0,-0.0,-0.0,0.0,0.0,-20.39,-4.62,-0.0,0.0,20.84,-3.49,-25.01,17.35,-7.66
319,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-21.06,-8.04,-0.0,-0.0,24.4,-3.62,-29.09,20.78,-8.31
322,0.0,-0.0,-0.0,0.0,0.0,0.0,-16.76,-3.82,0.0,-0.0,14.37,-2.8,-20.58,11.57,-9.01
325,0.0,-0.0,0.0,-0.0,-0.0,0.0,-21.64,-15.18,0.0,-0.0,28.65,-3.65,-36.83,25.01,-11.82
328,0.0,-0.0,0.0,-0.0,-0.0,0.0,-20.84,-8.2,-0.0,0.0,23.91,-3.77,-29.04,20.14,-8.9
331,0.0,0.0,0.0,0.0,0.0,0.0,-17.41,-10.15,0.0,0.0,21.69,-3.25,-27.55,18.45,-9.11
334,0.0,0.0,0.0,-0.0,0.0,0.0,-22.47,-8.97,0.0,-0.0,24.67,-3.77,-31.44,20.9,-10.55
337,0.0,-0.0,0.0,-0.0,0.0,0.0,-20.89,-8.62,-0.0,0.0,23.92,-3.61,-29.51,20.3,-9.21
340,0.0,0.0,0.0,-0.0,-0.0,0.0,-16.15,-2.88,-0.0,0.0,18.3,-2.45,-19.03,15.84,-3.18
343,0.0,0.0,0.0,0.0,0.0,0.0,-22.86,-10.17,-0.0,-0.0,24.23,-3.54,-33.02,20.69,-12.33
346,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-23.69,-9.8,0.0,-0.0,30.11,-3.5,-33.5,26.61,-6.89
349,0.0,-0.0,-0.0,0.0,0.0,0.0,-24.38,1.33,0.0,0.0,16.31,-3.19,-23.05,13.12,-9.93
352,-0.0,0.0,0.0,0.0,0.0,0.0,-24.55,-11.35,-0.0,-0.0,25.0,-3.33,-35.9,21.67,-14.23
