GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
232,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.04,0.15,0.0,-0.0,0.06,0.0,0.11,0.06,0.17
235,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.35,-0.73,0.0,0.0,1.93,0.0,-1.08,1.93,0.85
238,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.27,3.25,-0.0,-0.0,-2.09,0.0,2.98,-2.09,0.89
241,0.0,0.0,-0.0,0.0,0.0,0.0,-0.2,-1.03,-0.0,0.0,1.84,0.0,-1.23,1.84,0.61
244,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.18,0.0,0.0,0.59,0.0,-0.0,0.59,0.59
247,0.0,0.0,0.0,-0.0,0.0,0.0,-0.05,-0.63,0.0,0.0,0.83,-0.0,-0.68,0.83,0.15
250,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.09,0.71,0.0,-0.0,-0.22,-0.0,0.62,-0.22,0.4
253,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.14,-0.3,0.0,-0.0,0.97,-0.0,-0.44,0.97,0.53
256,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.06,0.0,-0.0,-0.06,0.0,0.05,-0.06,-0.0
259,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.22,-0.0,0.0,0.22,-0.0,-0.23,0.22,-0.0
262,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.21,-0.0,-0.0,0.21,0.0,-0.21,0.21,-0.0
265,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.24,0.0,-0.0,0.24,0.0,-0.24,0.24,-0.0
268,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.04,-0.0,0.0,0.04,0.0,-0.05,0.04,-0.0
271,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.12,-0.0,0.0,-0.12,-0.0,0.12,-0.12,-0.0
274,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.07,0.0,-0.0,-0.07,0.0,0.07,-0.07,-0.0
277,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.11,-0.0,-0.0,0.11,-0.0,-0.11,0.11,-0.0
280,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.09,-0.0,-0.0,0.09,0.0,-0.09,0.09,-0.0
283,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.13,-0.0,-0.0,0.13,-0.0,-0.13,0.13,-0.0
286,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.18,-0.0,0.0,-0.18,0.0,0.18,-0.18,-0.0
289,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.19,-0.0,-0.0,0.19,-0.0,-0.2,0.19,-0.0
292,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.12,0.0,0.0,0.12,-0.0,-0.12,0.12,-0.0
295,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.15,0.0,-0.0,0.15,0.0,-0.15,0.15,-0.0
298,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.14,-0.0,0.0,0.14,-0.0,-0.14,0.14,-0.0
301,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.12,0.0,0.0,0.12,0.0,-0.12,0.12,-0.0
304,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1,-0.0,0.0,-0.1,-0.0,0.1,-0.1,-0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.12,-0.0,0.0,0.12,-0.0,-0.12,0.12,-0.0
310,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.36,-0.0,0.0,-0.36,0.0,0.36,-0.36,-0.0
313,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.03,-0.0,0.0,-0.03,0.0,0.03,-0.03,-0.0
316,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.01,-0.0,0.0,0.01,-0.0,-0.01,0.01,-0.0
319,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.12,-0.0,0.0,-0.12,0.0,0.12,-0.12,-0.0
322,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.08,0.0,0.0,-0.08,-0.0,0.08,-0.08,-0.0
